0, ms PITCH YAW ROLL Fist OpenHand PuppetHand Fingerpoint;
1, 33 0. 0. 0. 0. 0. 0.;
2, 66 0. 0. 0. 0. 0. 0.;
3, 99 0. 0. 0. 0. 0. 0.;
4, 132 0. 0. 0. 0. 0. 0.;
5, 165 0. 0. 0. 0. 0. 0.;
6, 198 0. 0. 0. 0. 0. 0.;
7, 231 0. 0. 0. 0. 0. 0.;
8, 264 0. 0. 0. 0. 0. 0.;
9, 297 0. 0. 0. 0. 0. 0.;
10, 330 0. 0. 0. 0. 0. 0.;
11, 363 0. 0. 0. 0. 0. 0.;
12, 396 0. 0. 0. 0. 0. 0.;
13, 429 0. 0. 0. 0. 0. 0.;
14, 462 0. 0. 0. 0. 0. 0.;
15, 495 0. 0. 0. 0. 0. 0.;
16, 528 0. 0. 0. 0. 0. 0.;
17, 561 0. 0. 0. 0. 0. 0.;
18, 594 0. 0. 0. 0. 0. 0.;
19, 627 0. 0. 0. 0. 0. 0.;
20, 660 0. 0. 0. 0. 0. 0.;
21, 693 0. 0. 0. 0. 0. 0.;
22, 726 0. 0. 0. 0. 0. 0.;
23, 759 0. 0. 0. 0. 0. 0.;
24, 792 0. 0. 0. 0. 0. 0.;
25, 825 0. 0. 0. 0. 0. 0.;
26, 858 0. 0. 0. 0. 0. 0.;
27, 891 0. 0. 0. 0. 0. 0.;
28, 924 0. 0. 0. 0. 0. 0.;
29, 957 0. 0. 0. 0. 0. 0.;
30, 990 0. 0. 0. 0. 0. 0.;
31, 1023 0. 0. 0. 0. 0. 0.;
32, 1056 0. 0. 0. 0. 0. 0.;
33, 1089 0. 0. 0. 0. 0. 0.;
34, 1122 0. 0. 0. 0. 0. 0.;
35, 1155 0. 0. 0. 0. 0. 0.;
36, 1188 0. 0. 0. 0. 0. 0.;
37, 1221 0. 0. 0. 0. 0. 0.;
38, 1254 0. 0. 0. 0. 0. 0.;
39, 1287 0. 0. 0. 0. 0. 0.;
40, 1320 0. 0. 0. 0. 0. 0.;
41, 1353 0. 0. 0. 0. 0. 0.;
42, 1386 0. 0. 0. 0. 0. 0.;
